; Composite MgII index V5  mark.weber@uni-bremen.de 20220213
;
;  1       N7/N9/N11 (Viereck 1999)   3892
;  2                        N7/SBUV     50
;  3                       N9/SBUV2      9
;  4                      N11/SBUV2     17
;  5                      N16/SBUV2    181
;  6                      N17/SBUV2      3
;  7                      N18/SBUV2      1
;  8      U/SOLSTICE (de Toma 1997)      0
;  9           U/SOLSTICE (classic)   1369
; 10                          SUSIM    109
  1991.95753 12 16 0.16431  4.92e-04   1
  1991.96027 12 17 0.16392  4.86e-04   1
  1991.96301 12 18 0.16353  4.81e-04   1
  1991.96575 12 19 0.16402  4.88e-04   1
  1991.96849 12 20 0.16363  4.82e-04   1
  1991.97123 12 21 0.16392  4.86e-04   1
  1991.97397 12 22 0.16514  4.94e-04   9
  1991.97671 12 23 0.16508  4.93e-04   9
  1991.97945 12 24 0.16653  5.15e-04   9
  1991.98219 12 25 0.16699  5.22e-04   9
  1991.98493 12 26 0.16666  5.17e-04   9
  1991.98767 12 27 0.16660  5.16e-04   9
  1991.99041 12 28 0.16585  5.05e-04   9
  1991.99315 12 29 0.16621  5.10e-04   9
  1991.99589 12 30 0.16749  5.30e-04   9
  1991.99863 12 31 0.16747  5.30e-04   9
  1992.00137 01 01 0.16831  5.43e-04   9
  1992.00410 01 02 0.16884  5.52e-04   9
  1992.00683 01 03 0.16979  5.67e-04   9
  1992.00956 01 04 0.17104  5.88e-04   9
  1992.01230 01 05 0.17168  5.99e-04   9
  1992.01503 01 06 0.17273  6.17e-04   9
  1992.01776 01 07 0.17347  6.30e-04   9
  1992.02049 01 08 0.17368  6.34e-04   9
  1992.02322 01 09 0.17223  6.08e-04   9
  1992.02596 01 10 0.17073  5.83e-04   9
  1992.02869 01 11 0.16802  5.38e-04   9
  1992.03142 01 12 0.16677  5.19e-04   9
  1992.03415 01 13 0.16574  5.03e-04   9
  1992.03689 01 14 0.16460  4.86e-04   9
  1992.03962 01 15 0.16427  4.81e-04   9
  1992.04235 01 16 0.16393  4.77e-04   9
  1992.04508 01 17 0.16349  4.70e-04   9
  1992.04781 01 18 0.16398  4.77e-04   9
  1992.05055 01 19 0.16518  4.95e-04   9
  1992.05328 01 20 0.16586  5.05e-04   9
  1992.05601 01 21 0.16657  5.16e-04   9
  1992.05874 01 22 0.16693  5.21e-04   9
  1992.06148 01 23 0.16678  5.19e-04   9
  1992.06421 01 24 0.16613  5.09e-04   9
  1992.06694 01 25 0.16707  5.23e-04   9
  1992.06967 01 26 0.16708  5.24e-04   9
  1992.07240 01 27 0.16775  5.34e-04   9
  1992.07514 01 28 0.16831  5.43e-04   9
  1992.07787 01 29 0.17011  5.73e-04   9
  1992.08060 01 30 0.17214  6.07e-04   9
  1992.08333 01 31 0.17235  6.11e-04   9
  1992.08607 02 01 0.17324  6.26e-04   9
  1992.08880 02 02 0.17365  6.33e-04   9
  1992.09153 02 03 0.17323  6.26e-04   9
  1992.09426 02 04 0.17278  6.18e-04   9
  1992.09699 02 05 0.17046  5.78e-04   9
  1992.09973 02 06 0.16946  5.62e-04   9
  1992.10246 02 07 0.16903  5.55e-04   9
  1992.10519 02 08 0.16825  5.42e-04   9
  1992.10792 02 09 0.16797  5.38e-04   9
  1992.11066 02 10 0.16831  5.43e-04   9
  1992.11339 02 11 0.16759  5.32e-04   9
  1992.11612 02 12 0.16765  5.33e-04   9
  1992.11885 02 13 0.16686  5.20e-04   9
  1992.12158 02 14 0.16697  5.22e-04   9
  1992.12432 02 15 0.16619  5.10e-04   9
  1992.12705 02 16 0.16629  5.11e-04   9
  1992.12978 02 17 0.16561  5.01e-04   9
  1992.13251 02 18 0.16548  4.99e-04   9
  1992.13525 02 19 0.16513  4.94e-04   9
  1992.13798 02 20 0.16562  5.01e-04   9
  1992.14071 02 21 0.16688  5.21e-04   9
  1992.14344 02 22 0.16841  5.45e-04   9
  1992.14617 02 23 0.16958  5.64e-04   9
  1992.14891 02 24 0.17113  5.90e-04   9
  1992.15164 02 25 0.17247  6.13e-04   9
  1992.15437 02 26 0.17317  6.25e-04   9
  1992.15710 02 27 0.17341  6.29e-04   9
  1992.15984 02 28 0.17280  6.18e-04   9
  1992.16257 02 29 0.17114  5.90e-04   9
  1992.16530 03 01 0.17121  5.91e-04   9
  1992.16803 03 02 0.16846  5.46e-04   9
  1992.17077 03 03 0.16583  5.04e-04   9
  1992.17350 03 04 0.16309  4.65e-04   9
  1992.17623 03 05 0.16281  4.61e-04   9
  1992.17896 03 06 0.16282  4.61e-04   9
  1992.18169 03 07 0.16346  4.70e-04   9
  1992.18443 03 08 0.16399  4.77e-04   9
  1992.18716 03 09 0.16447  4.84e-04   9
  1992.18989 03 10 0.16513  4.94e-04   9
  1992.19262 03 11 0.16553  5.00e-04   9
  1992.19536 03 12 0.16595  5.06e-04   9
  1992.19809 03 13 0.16654  5.15e-04   9
  1992.20082 03 14 0.16635  5.12e-04   9
  1992.20355 03 15 0.16638  5.13e-04   9
  1992.20628 03 16 0.16517  4.95e-04   9
  1992.20902 03 17 0.16507  4.93e-04   9
  1992.21175 03 18 0.16449  4.85e-04   9
  1992.21448 03 19 0.16520  4.95e-04   9
  1992.21721 03 20 0.16549  4.99e-04   9
  1992.21995 03 21 0.16663  5.17e-04   9
  1992.22268 03 22 0.16665  5.17e-04   9
  1992.22541 03 23 0.16654  5.15e-04   9
  1992.22814 03 24 0.16731  5.27e-04   9
  1992.23087 03 25 0.16747  5.30e-04   9
  1992.23361 03 26 0.16698  5.22e-04   9
  1992.23634 03 27 0.16615  5.09e-04   9
  1992.23907 03 28 0.16573  5.03e-04   9
  1992.24180 03 29 0.16478  4.89e-04   9
  1992.24454 03 30 0.16263  4.59e-04   9
  1992.24727 03 31 0.16303  4.64e-04   9
  1992.25000 04 01 0.16198  4.50e-04   9
  1992.25273 04 02 0.16148  4.44e-04   9
  1992.25546 04 03 0.16174  4.47e-04   9
  1992.25820 04 04 0.16116  4.39e-04   9
  1992.26093 04 05 0.15984  4.23e-04   9
  1992.26366 04 06 0.16032  4.29e-04   9
  1992.26639 04 07 0.16115  4.39e-04   9
  1992.26913 04 08 0.16149  4.44e-04   9
  1992.27186 04 09 0.16283  4.61e-04   9
  1992.27459 04 10 0.16371  4.73e-04   9
  1992.27732 04 11 0.16344  4.70e-04   9
  1992.28005 04 12 0.16385  4.75e-04   9
  1992.28279 04 13 0.16349  4.70e-04   9
  1992.28552 04 14 0.16374  4.74e-04   9
  1992.28825 04 15 0.16393  4.77e-04   9
  1992.29098 04 16 0.16494  4.91e-04   9
  1992.29372 04 17 0.16519  4.95e-04   9
  1992.29645 04 18 0.16577  5.04e-04   9
  1992.29918 04 19 0.16640  5.13e-04   9
  1992.30191 04 20 0.16697  5.22e-04   9
  1992.30464 04 21 0.16819  5.41e-04   9
  1992.30738 04 22 0.16845  5.45e-04   9
  1992.31011 04 23 0.16832  5.43e-04   9
  1992.31284 04 24 0.16694  5.21e-04   9
  1992.31557 04 25 0.16611  5.09e-04   9
  1992.31831 04 26 0.16478  4.89e-04   9
  1992.32104 04 27 0.16368  4.73e-04   9
  1992.32377 04 28 0.16145  4.43e-04   9
  1992.32650 04 29 0.16080  4.35e-04   9
  1992.32923 04 30 0.15960  4.21e-04   9
  1992.33197 05 01 0.15833  4.07e-04   9
  1992.33470 05 02 0.15805  4.04e-04   9
  1992.33743 05 03 0.15846  4.08e-04   9
  1992.34016 05 04 0.15875  4.11e-04   9
  1992.34290 05 05 0.15866  4.10e-04   9
  1992.34563 05 06 0.15878  4.11e-04   9
  1992.34836 05 07 0.15978  4.23e-04   9
  1992.35109 05 08 0.15972  4.22e-04   9
  1992.35383 05 09 0.15941  4.18e-04   9
  1992.35656 05 10 0.16006  4.26e-04   9
  1992.35929 05 11 0.16034  4.29e-04   9
  1992.36202 05 12 0.16072  4.34e-04   9
  1992.36475 05 13 0.16129  4.41e-04   9
  1992.36749 05 14 0.16087  4.36e-04   9
  1992.37022 05 15 0.16102  4.38e-04   9
  1992.37295 05 16 0.16138  4.42e-04   9
  1992.37568 05 17 0.16120  4.40e-04   9
  1992.37842 05 18 0.16198  4.50e-04   9
  1992.38115 05 19 0.16245  4.56e-04   9
  1992.38388 05 20 0.16228  4.54e-04   9
  1992.38661 05 21 0.16221  4.53e-04   9
  1992.38934 05 22 0.16237  4.55e-04   9
  1992.39208 05 23 0.16204  4.51e-04   9
  1992.39481 05 24 0.16185  4.48e-04   9
  1992.39754 05 25 0.16062  4.33e-04   9
  1992.40027 05 26 0.15971  4.22e-04   9
  1992.40301 05 27 0.15842  4.08e-04   9
  1992.40574 05 28 0.15778  4.01e-04   9
  1992.40847 05 29 0.15694  3.93e-04   9
  1992.41120 05 30 0.15677  3.91e-04   9
  1992.41393 05 31 0.15698  3.93e-04   9
  1992.41667 06 01 0.15587  3.84e-04   9
  1992.41940 06 02 0.15586  3.84e-04   9
  1992.42213 06 03 0.15609  3.96e-04   1
  1992.42486 06 04 0.15658  4.01e-04   1
  1992.42760 06 05 0.15746  4.09e-04   1
  1992.43033 06 06 0.15825  4.16e-04   1
  1992.43306 06 07 0.15854  4.20e-04   1
  1992.43579 06 08 0.15874  4.22e-04   1
  1992.43852 06 09 0.15932  4.28e-04   1
  1992.44126 06 10 0.15991  4.35e-04   1
  1992.44399 06 11 0.16089  4.46e-04   1
  1992.44672 06 12 0.16118  4.50e-04   1
  1992.44945 06 13 0.16187  4.59e-04   1
  1992.45219 06 14 0.16206  4.61e-04   1
  1992.45492 06 15 0.16226  4.64e-04   1
  1992.45765 06 16 0.16197  4.60e-04   1
  1992.46038 06 17 0.16167  4.56e-04   1
  1992.46311 06 18 0.16167  4.56e-04   1
  1992.46585 06 19 0.16108  4.49e-04   1
  1992.46858 06 20 0.16040  4.40e-04   1
  1992.47131 06 21 0.15971  4.32e-04   1
  1992.47404 06 22 0.15854  4.20e-04   1
  1992.47678 06 23 0.15756  4.10e-04   1
  1992.47951 06 24 0.15668  4.01e-04   1
  1992.48224 06 25 0.15649  4.00e-04   1
  1992.48497 06 26 0.15580  3.94e-04   1
  1992.48770 06 27 0.15502  3.88e-04   1
  1992.49044 06 28 0.15541  3.91e-04   1
  1992.49317 06 29 0.15561  3.92e-04   1
  1992.49590 06 30 0.15639  3.99e-04   1
  1992.49863 07 01 0.15746  4.09e-04   1
  1992.50137 07 02 0.15776  4.12e-04   1
  1992.50410 07 03 0.15883  4.23e-04   1
  1992.50683 07 04 0.15923  4.27e-04   1
  1992.50956 07 05 0.15971  4.32e-04   1
  1992.51230 07 06 0.16020  4.38e-04   1
  1992.51503 07 07 0.16108  4.49e-04   1
  1992.51776 07 08 0.16157  4.55e-04   1
  1992.52049 07 09 0.16206  4.61e-04   1
  1992.52322 07 10 0.16226  4.64e-04   1
  1992.52596 07 11 0.16224  4.53e-04   9
  1992.52869 07 12 0.16417  4.64e-04  10
  1992.53142 07 13 0.16350  4.55e-04   3
  1992.53415 07 14 0.16392  4.86e-04   1
  1992.53689 07 15 0.16402  4.88e-04   1
  1992.53962 07 16 0.16343  4.80e-04   1
  1992.54235 07 17 0.16226  4.64e-04   1
  1992.54508 07 18 0.16357  4.72e-04   9
  1992.54781 07 19 0.15896  4.13e-04   9
  1992.55055 07 20 0.15822  4.06e-04   9
  1992.55328 07 21 0.15742  3.98e-04   9
  1992.55601 07 22 0.15586  3.84e-04   9
  1992.55874 07 23 0.15585  3.83e-04   9
  1992.56148 07 24 0.15477  3.75e-04   9
  1992.56421 07 25 0.15495  3.76e-04   9
  1992.56694 07 26 0.15532  3.79e-04   9
  1992.56967 07 27 0.15515  3.78e-04   9
  1992.57240 07 28 0.15593  3.84e-04   9
  1992.57514 07 29 0.15624  3.87e-04   9
  1992.57787 07 30 0.15651  3.89e-04   9
  1992.58060 07 31 0.15694  3.93e-04   9
  1992.58333 08 01 0.15707  3.94e-04   9
  1992.58607 08 02 0.15783  4.02e-04   9
  1992.58880 08 03 0.15868  4.10e-04   9
  1992.59153 08 04 0.15912  4.15e-04   9
  1992.59426 08 05 0.15972  4.22e-04   9
  1992.59699 08 06 0.16022  4.28e-04   9
  1992.59973 08 07 0.16052  4.32e-04   9
  1992.60246 08 08 0.16111  4.39e-04   9
  1992.60519 08 09 0.16156  4.44e-04   9
  1992.60792 08 10 0.16138  4.42e-04   9
  1992.61066 08 11 0.16068  4.33e-04   9
  1992.61339 08 12 0.16072  4.34e-04   9
  1992.61612 08 13 0.16043  4.30e-04   9
  1992.61885 08 14 0.15994  4.25e-04   9
  1992.62158 08 15 0.15948  4.19e-04   9
  1992.62432 08 16 0.15935  4.18e-04   9
  1992.62705 08 17 0.15823  4.06e-04   9
  1992.62978 08 18 0.15849  4.08e-04   9
  1992.63251 08 19 0.15779  4.01e-04   9
  1992.63525 08 20 0.15718  3.95e-04   9
  1992.63798 08 21 0.15676  3.91e-04   9
  1992.64071 08 22 0.15630  3.87e-04   9
  1992.64344 08 23 0.15573  3.82e-04   9
  1992.64617 08 24 0.15557  3.81e-04   9
  1992.64891 08 25 0.15460  3.74e-04   9
  1992.65164 08 26 0.15501  3.77e-04   9
  1992.65437 08 27 0.15546  3.80e-04   9
  1992.65710 08 28 0.15593  3.84e-04   9
  1992.65984 08 29 0.15592  3.84e-04   9
  1992.66257 08 30 0.15698  3.93e-04   9
  1992.66530 08 31 0.15693  3.93e-04   9
  1992.66803 09 01 0.15731  3.96e-04   9
  1992.67077 09 02 0.15739  3.97e-04   9
  1992.67350 09 03 0.15778  4.01e-04   9
  1992.67623 09 04 0.15732  3.97e-04   9
  1992.67896 09 05 0.15762  3.99e-04   9
  1992.68169 09 06 0.15787  4.02e-04   9
  1992.68443 09 07 0.15725  3.96e-04   9
  1992.68716 09 08 0.15733  3.97e-04   9
  1992.68989 09 09 0.15774  4.01e-04   9
  1992.69262 09 10 0.15845  4.08e-04   9
  1992.69536 09 11 0.15830  4.06e-04   9
  1992.69809 09 12 0.15847  4.08e-04   9
  1992.70082 09 13 0.15899  4.14e-04   9
  1992.70355 09 14 0.15864  4.10e-04   9
  1992.70628 09 15 0.15778  4.01e-04   9
  1992.70902 09 16 0.15842  4.08e-04   9
  1992.71175 09 17 0.15774  4.01e-04   9
  1992.71448 09 18 0.15717  3.95e-04   9
  1992.71721 09 19 0.15808  4.04e-04   9
  1992.71995 09 20 0.15794  4.03e-04   9
  1992.72268 09 21 0.15688  4.03e-04   1
  1992.72541 09 22 0.15766  4.00e-04   9
  1992.72814 09 23 0.15740  3.97e-04   9
  1992.73087 09 24 0.15734  3.97e-04   9
  1992.73361 09 25 0.15764  4.00e-04   9
  1992.73634 09 26 0.15693  3.93e-04   9
  1992.73907 09 27 0.15780  4.01e-04   9
  1992.74180 09 28 0.15720  3.95e-04   9
  1992.74454 09 29 0.15722  3.96e-04   9
  1992.74727 09 30 0.15788  4.02e-04   9
  1992.75000 10 01 0.15751  3.98e-04   9
  1992.75273 10 02 0.15860  4.10e-04   9
  1992.75546 10 03 0.15915  4.16e-04   9
  1992.75820 10 04 0.15976  4.22e-04   9
  1992.76093 10 05 0.15987  4.24e-04   9
  1992.76366 10 06 0.16024  4.28e-04   9
  1992.76639 10 07 0.16087  4.36e-04   9
  1992.76913 10 08 0.16054  4.32e-04   9
  1992.77186 10 09 0.15947  4.19e-04   9
  1992.77459 10 10 0.15976  4.23e-04   9
  1992.77732 10 11 0.15844  4.08e-04   9
  1992.78005 10 12 0.15684  3.92e-04   9
  1992.78279 10 13 0.15644  3.88e-04   9
  1992.78552 10 14 0.15679  3.92e-04   9
  1992.78825 10 15 0.15583  3.83e-04   9
  1992.79098 10 16 0.15601  3.85e-04   9
  1992.79372 10 17 0.15596  3.84e-04   9
  1992.79645 10 18 0.15618  3.86e-04   9
  1992.79918 10 19 0.15727  3.96e-04   9
  1992.80191 10 20 0.15718  3.95e-04   9
  1992.80464 10 21 0.15776  4.01e-04   9
  1992.80738 10 22 0.15822  4.06e-04   9
  1992.81011 10 23 0.15873  4.11e-04   9
  1992.81284 10 24 0.15891  4.13e-04   9
  1992.81557 10 25 0.15902  4.14e-04   9
  1992.81831 10 26 0.15919  4.16e-04   9
  1992.82104 10 27 0.15995  4.25e-04   9
  1992.82377 10 28 0.15956  4.20e-04   9
  1992.82650 10 29 0.16121  4.40e-04   9
  1992.82923 10 30 0.15984  4.23e-04   9
  1992.83197 10 31 0.16016  4.27e-04   9
  1992.83470 11 01 0.15992  4.24e-04   9
  1992.83743 11 02 0.15944  4.19e-04   9
  1992.84016 11 03 0.15931  4.17e-04   9
  1992.84290 11 04 0.15893  4.13e-04   9
  1992.84563 11 05 0.15832  4.07e-04   9
  1992.84836 11 06 0.15779  4.01e-04   9
  1992.85109 11 07 0.15772  4.00e-04   9
  1992.85383 11 08 0.15720  3.95e-04   9
  1992.85656 11 09 0.15716  3.95e-04   9
  1992.85929 11 10 0.15728  3.96e-04   9
  1992.86202 11 11 0.15764  4.00e-04   9
  1992.86475 11 12 0.15772  4.01e-04   9
  1992.86749 11 13 0.15770  4.00e-04   9
  1992.87022 11 14 0.15826  4.06e-04   9
  1992.87295 11 15 0.15820  4.05e-04   9
  1992.87568 11 16 0.15853  4.09e-04   9
  1992.87842 11 17 0.16011  4.27e-04   9
  1992.88115 11 18 0.16044  4.31e-04   9
  1992.88388 11 19 0.16098  4.37e-04   9
  1992.88661 11 20 0.16176  4.47e-04   9
  1992.88934 11 21 0.16181  4.48e-04   9
  1992.89208 11 22 0.16156  4.45e-04   9
  1992.89481 11 23 0.16262  4.58e-04   9
  1992.89754 11 24 0.16256  4.58e-04   9
  1992.90027 11 25 0.16293  4.63e-04   9
  1992.90301 11 26 0.16301  4.64e-04   9
  1992.90574 11 27 0.16179  4.48e-04   9
  1992.90847 11 28 0.16054  4.32e-04   9
  1992.91120 11 29 0.16001  4.25e-04   9
  1992.91393 11 30 0.15930  4.17e-04   9
  1992.91667 12 01 0.15848  4.08e-04   9
  1992.91940 12 02 0.15806  4.04e-04   9
  1992.92213 12 03 0.15709  3.94e-04   9
  1992.92486 12 04 0.15663  3.90e-04   9
  1992.92760 12 05 0.15565  3.82e-04   9
  1992.93033 12 06 0.15563  3.82e-04   9
  1992.93306 12 07 0.15636  3.88e-04   9
  1992.93579 12 08 0.15777  4.01e-04   9
  1992.93852 12 09 0.15920  4.16e-04   9
  1992.94126 12 10 0.16060  4.32e-04   9
  1992.94399 12 11 0.16117  4.40e-04   9
  1992.94672 12 12 0.16173  4.47e-04   9
  1992.94945 12 13 0.16253  4.57e-04   9
  1992.95219 12 14 0.16221  4.53e-04   9
  1992.95492 12 15 0.16214  4.52e-04   9
  1992.95765 12 16 0.16210  4.52e-04   9
  1992.96038 12 17 0.16145  4.43e-04   9
  1992.96311 12 18 0.16085  4.36e-04   9
  1992.96585 12 19 0.16106  4.38e-04   9
  1992.96858 12 20 0.16102  4.38e-04   9
  1992.97131 12 21 0.16140  4.42e-04   9
  1992.97404 12 22 0.16175  4.47e-04   9
  1992.97678 12 23 0.16190  4.49e-04   9
  1992.97951 12 24 0.16253  4.57e-04   9
  1992.98224 12 25 0.16159  4.45e-04   9
  1992.98497 12 26 0.16093  4.37e-04   9
  1992.98770 12 27 0.15997  4.25e-04   9
  1992.99044 12 28 0.15904  4.14e-04   9
  1992.99317 12 29 0.15876  4.11e-04   9
  1992.99590 12 30 0.15726  3.96e-04   9
  1992.99863 12 31 0.15641  3.88e-04   9
  1993.00137 01 01 0.15579  3.83e-04   9
  1993.00411 01 02 0.15601  3.85e-04   9
  1993.00685 01 03 0.15621  3.86e-04   9
  1993.00959 01 04 0.15755  3.99e-04   9
  1993.01233 01 05 0.15790  4.02e-04   9
  1993.01507 01 06 0.15869  4.11e-04   9
  1993.01781 01 07 0.15919  4.16e-04   9
  1993.02055 01 08 0.16009  4.26e-04   9
  1993.02329 01 09 0.15990  4.24e-04   9
  1993.02603 01 10 0.16025  4.28e-04   9
  1993.02877 01 11 0.16017  4.27e-04   9
  1993.03151 01 12 0.15967  4.21e-04   9
  1993.03425 01 13 0.15925  4.17e-04   9
  1993.03699 01 14 0.15791  4.02e-04   9
  1993.03973 01 15 0.15796  4.03e-04   9
  1993.04247 01 16 0.15851  4.09e-04   9
  1993.04521 01 17 0.15800  4.03e-04   9
  1993.04795 01 18 0.15828  4.06e-04   9
  1993.05068 01 19 0.15806  4.04e-04   9
  1993.05342 01 20 0.15861  4.10e-04   9
  1993.05616 01 21 0.15815  4.05e-04   9
  1993.05890 01 22 0.15871  4.11e-04   9
  1993.06164 01 23 0.15772  4.00e-04   9
  1993.06438 01 24 0.15739  3.97e-04   9
  1993.06712 01 25 0.15690  3.93e-04   9
  1993.06986 01 26 0.15573  3.82e-04   9
  1993.07260 01 27 0.15587  3.84e-04   9
  1993.07534 01 28 0.15562  3.82e-04   9
  1993.07808 01 29 0.15599  3.85e-04   9
  1993.08082 01 30 0.15581  3.83e-04   9
  1993.08356 01 31 0.15583  3.83e-04   9
  1993.08630 02 01 0.15550  3.81e-04   9
  1993.08904 02 02 0.15646  3.89e-04   9
  1993.09178 02 03 0.15786  4.02e-04   9
  1993.09452 02 04 0.15835  4.07e-04   9
  1993.09726 02 05 0.15943  4.19e-04   9
  1993.10000 02 06 0.15987  4.24e-04   9
  1993.10274 02 07 0.16064  4.33e-04   9
  1993.10548 02 08 0.16017  4.27e-04   9
  1993.10822 02 09 0.15978  4.23e-04   9
  1993.11096 02 10 0.16006  4.26e-04   9
  1993.11370 02 11 0.15931  4.17e-04   9
  1993.11644 02 12 0.15855  4.09e-04   9
  1993.11918 02 13 0.15797  4.03e-04   9
  1993.12192 02 14 0.15772  4.00e-04   9
  1993.12466 02 15 0.15782  4.01e-04   9
  1993.12740 02 16 0.15829  4.06e-04   9
  1993.13014 02 17 0.15800  4.03e-04   9
  1993.13288 02 18 0.15827  4.06e-04   9
  1993.13562 02 19 0.15845  4.08e-04   9
  1993.13836 02 20 0.15806  4.04e-04   9
  1993.14110 02 21 0.15827  4.06e-04   9
  1993.14384 02 22 0.15803  4.04e-04   9
  1993.14658 02 23 0.15774  4.01e-04   9
  1993.14932 02 24 0.15780  4.01e-04   9
  1993.15205 02 25 0.15770  4.00e-04   9
  1993.15479 02 26 0.15769  4.00e-04   9
  1993.15753 02 27 0.15757  3.99e-04   9
  1993.16027 02 28 0.15740  3.97e-04   9
  1993.16301 03 01 0.15775  4.01e-04   9
  1993.16575 03 02 0.15850  4.08e-04   9
  1993.16849 03 03 0.15963  4.21e-04   9
  1993.17123 03 04 0.16012  4.27e-04   9
  1993.17397 03 05 0.16039  4.30e-04   9
  1993.17671 03 06 0.16119  4.40e-04   9
  1993.17945 03 07 0.16145  4.43e-04   9
  1993.18219 03 08 0.16017  4.27e-04   9
  1993.18493 03 09 0.15944  4.19e-04   9
  1993.18767 03 10 0.15947  4.19e-04   9
  1993.19041 03 11 0.15904  4.14e-04   9
  1993.19315 03 12 0.15892  4.13e-04   9
  1993.19589 03 13 0.15817  4.05e-04   9
  1993.19863 03 14 0.15727  3.96e-04   9
  1993.20137 03 15 0.15705  3.94e-04   9
  1993.20411 03 16 0.15774  4.01e-04   9
  1993.20685 03 17 0.15792  4.02e-04   9
  1993.20959 03 18 0.15883  4.12e-04   9
  1993.21233 03 19 0.15920  4.16e-04   9
  1993.21507 03 20 0.15935  4.18e-04   9
  1993.21781 03 21 0.15878  4.11e-04   9
  1993.22055 03 22 0.15808  4.04e-04   9
  1993.22329 03 23 0.15801  4.03e-04   9
  1993.22603 03 24 0.15789  4.02e-04   9
  1993.22877 03 25 0.15811  4.04e-04   9
  1993.23151 03 26 0.15782  4.01e-04   9
  1993.23425 03 27 0.15781  4.01e-04   9
  1993.23699 03 28 0.15805  4.04e-04   9
  1993.23973 03 29 0.15828  4.06e-04   9
  1993.24247 03 30 0.15864  4.10e-04   9
  1993.24521 03 31 0.15994  4.25e-04   9
  1993.24795 04 01 0.16041  4.30e-04   9
  1993.25068 04 02 0.16015  4.27e-04   9
  1993.25342 04 03 0.15989  4.24e-04   9
  1993.25616 04 04 0.15968  4.22e-04   9
  1993.25890 04 05 0.15880  4.12e-04   9
  1993.26164 04 06 0.15872  4.11e-04   9
  1993.26438 04 07 0.15822  4.06e-04   9
  1993.26712 04 08 0.15835  4.07e-04   9
  1993.26986 04 09 0.15761  3.99e-04   9
  1993.27260 04 10 0.15637  3.88e-04   9
  1993.27534 04 11 0.15595  3.84e-04   9
  1993.27808 04 12 0.15513  3.78e-04   9
  1993.28082 04 13 0.15435  3.72e-04   9
  1993.28356 04 14 0.15446  3.73e-04   9
  1993.28630 04 15 0.15476  3.75e-04   9
  1993.28904 04 16 0.15444  3.73e-04   9
  1993.29178 04 17 0.15492  3.87e-04   1
  1993.29452 04 18 0.15512  3.89e-04   1
  1993.29726 04 19 0.15561  3.92e-04   1
  1993.30000 04 20 0.15619  3.97e-04   1
  1993.30274 04 21 0.15698  4.04e-04   1
  1993.30548 04 22 0.15766  4.11e-04   1
  1993.30822 04 23 0.15846  4.08e-04   9
  1993.31096 04 24 0.15856  4.09e-04   9
  1993.31370 04 25 0.15891  4.13e-04   9
  1993.31644 04 26 0.15953  4.20e-04   9
  1993.31918 04 27 0.15878  4.11e-04   9
  1993.32192 04 28 0.15909  4.15e-04   9
  1993.32466 04 29 0.15925  4.17e-04   9
  1993.32740 04 30 0.15910  4.15e-04   9
  1993.33014 05 01 0.15840  4.07e-04   9
  1993.33288 05 02 0.15796  4.03e-04   9
  1993.33562 05 03 0.15771  4.00e-04   9
  1993.33836 05 04 0.15767  4.00e-04   9
  1993.34110 05 05 0.15725  3.96e-04   9
  1993.34384 05 06 0.15702  3.94e-04   9
  1993.34658 05 07 0.15661  3.90e-04   9
  1993.34932 05 08 0.15624  3.87e-04   9
  1993.35205 05 09 0.15644  3.88e-04   9
  1993.35479 05 10 0.15653  3.89e-04   9
  1993.35753 05 11 0.15744  3.98e-04   9
  1993.36027 05 12 0.15745  3.98e-04   9
  1993.36301 05 13 0.15667  3.90e-04   9
  1993.36575 05 14 0.15646  3.89e-04   9
  1993.36849 05 15 0.15567  3.82e-04   9
  1993.37123 05 16 0.15560  3.81e-04   9
  1993.37397 05 17 0.15523  3.78e-04   9
  1993.37671 05 18 0.15510  3.78e-04   9
  1993.37945 05 19 0.15549  3.81e-04   9
  1993.38219 05 20 0.15559  3.81e-04   9
  1993.38493 05 21 0.15486  3.76e-04   9
  1993.38767 05 22 0.15477  3.75e-04   9
  1993.39041 05 23 0.15487  3.76e-04   9
  1993.39315 05 24 0.15542  3.80e-04   9
  1993.39589 05 25 0.15570  3.82e-04   9
  1993.39863 05 26 0.15714  3.95e-04   9
  1993.40137 05 27 0.15723  3.96e-04   9
  1993.40411 05 28 0.15783  4.02e-04   9
  1993.40685 05 29 0.15870  4.11e-04   9
  1993.40959 05 30 0.15966  4.21e-04   9
  1993.41233 05 31 0.15998  4.25e-04   9
  1993.41507 06 01 0.16069  4.34e-04   9
  1993.41781 06 02 0.16051  4.31e-04   9
  1993.42055 06 03 0.16072  4.34e-04   9
  1993.42329 06 04 0.15985  4.24e-04   9
  1993.42603 06 05 0.15869  4.11e-04   9
  1993.42877 06 06 0.15817  4.05e-04   9
  1993.43151 06 07 0.15721  3.95e-04   9
  1993.43425 06 08 0.15632  3.87e-04   9
  1993.43699 06 09 0.15570  3.82e-04   9
  1993.43973 06 10 0.15520  3.78e-04   9
  1993.44247 06 11 0.15492  3.76e-04   9
  1993.44521 06 12 0.15417  3.71e-04   9
  1993.44795 06 13 0.15413  3.71e-04   9
  1993.45068 06 14 0.15414  3.71e-04   9
  1993.45342 06 15 0.15440  3.73e-04   9
  1993.45616 06 16 0.15441  3.73e-04   9
  1993.45890 06 17 0.15391  3.69e-04   9
  1993.46164 06 18 0.15449  3.73e-04   9
